Folder,Analysis Result
spring_bright,"(array([23, 15, 14]), array([108,  96,  93]), array([157,  94, 102]), array([189, 175, 167]))"
spring_bright,"(array([14,  4,  3]), array([29, 22, 27]), array([150,  77,  78]), array([192, 170, 170]))"
spring_bright,"(array([29, 24, 18]), array([137, 142,  98]), array([187, 122, 107]), array([232, 246, 169]))"
spring_bright,"(array([30, 31, 46]), array([140, 109,  99]), array([195,  48,  70]), array([226, 204, 189]))"
spring_bright,"(array([42, 19, 32]), array([100,  90, 115]), array([156, 126, 189]), array([183, 210, 254]))"
spring_bright,"(array([41, 18, 15]), array([71, 38, 27]), array([173, 105, 101]), array([228, 180, 153]))"
spring_bright,"(array([254, 204, 210]), array([207, 151, 158]), array([254, 200, 207]), array([252, 200, 207]))"
spring_bright,"(array([31, 21, 12]), array([32, 28, 18]), array([209, 127,  88]), array([254, 254, 180]))"
spring_bright,"(array([52, 42, 44]), array([56, 38, 32]), array([187,  31,  68]), array([231, 248, 197]))"
spring_bright,"(array([45, 36, 40]), array([37, 33, 38]), array([157, 114, 120]), array([149, 111,  96]))"
spring_bright,"(array([27, 17, 12]), array([41, 30, 19]), array([236, 116, 139]), array([245, 193, 221]))"
spring_bright,"(array([38, 22, 20]), array([121,  91,  82]), array([203, 122, 117]), array([234, 207, 182]))"
spring_bright,"(array([30, 21, 20]), array([58, 59, 67]), array([204, 203, 215]), array([176, 151, 147]))"
spring_bright,"(array([47, 17, 16]), array([115,  85,  74]), array([139,  78,  76]), array([192, 148, 128]))"
spring_bright,"(array([31, 23, 23]), array([69, 54, 54]), array([197, 107, 110]), array([248, 220, 201]))"
spring_bright,"(array([30,  3,  4]), array([112,  95,  95]), array([151,  67,  98]), array([193, 168, 174]))"
spring_bright,"(array([23, 30, 28]), array([25, 22, 14]), array([143,  96, 105]), array([164, 228, 191]))"
spring_bright,"(array([48, 16, 23]), array([104,  65,  61]), array([226, 103, 120]), array([221, 141, 125]))"
spring_bright,"(array([51, 46, 51]), array([85, 62, 51]), array([159,  75,  82]), array([208, 184, 182]))"
spring_bright,"(array([26, 22, 26]), array([66, 57, 67]), array([112,  59,  85]), array([139, 127, 159]))"
spring_bright,"(array([61, 18,  9]), array([85, 47, 39]), array([191, 107, 128]), array([191, 145, 152]))"
spring_bright,"(array([37, 17, 16]), array([57, 36, 28]), array([175, 104, 131]), array([196, 180, 193]))"
spring_bright,"(array([47, 28, 29]), array([126,  97,  92]), array([186,  66,  80]), array([213, 182, 183]))"
spring_bright,"(array([27, 18, 14]), array([157, 148, 152]), array([143,  85,  91]), array([185, 172, 174]))"
spring_bright,"(array([40, 30, 26]), array([ 80,  94, 108]), array([90, 71, 91]), array([163, 222, 254]))"
spring_bright,"(array([53, 36, 32]), array([119, 100,  93]), array([127,  62,  63]), array([228, 205, 189]))"
spring_bright,"(array([10,  1,  1]), array([2, 1, 2]), array([157, 111, 125]), array([201, 196, 211]))"
spring_bright,"(array([46, 23, 19]), array([91, 65, 61]), array([214, 114, 117]), array([253, 203, 182]))"
spring_bright,"(array([29, 18, 20]), array([65, 53, 49]), array([138,  86,  81]), array([177, 149, 131]))"
spring_bright,"(array([21,  2,  6]), array([178, 135, 120]), array([254, 248, 205]), array([254, 207, 161]))"
spring_bright,"(array([16,  2,  1]), array([8, 0, 0]), array([208, 242, 236]), array([192, 197, 181]))"
spring_bright,"(array([43, 26, 26]), array([38, 20, 14]), array([183,  76, 118]), array([180, 126, 162]))"
spring_bright,"(array([78, 63, 63]), array([147, 115, 111]), array([222, 117, 122]), array([238, 190, 173]))"
spring_bright,"(array([54, 26, 24]), array([118,  95,  87]), array([200, 120, 117]), array([211, 169, 145]))"
spring_bright,"(array([31, 14, 10]), array([80, 74, 77]), array([151,  87, 101]), array([200, 195, 187]))"
spring_bright,"(array([33, 13, 18]), array([83, 53, 50]), array([165,  72,  88]), array([199, 170, 165]))"
spring_bright,"(array([57, 39, 28]), array([34, 29, 23]), array([177,  98,  76]), array([225, 179, 135]))"
spring_bright,"(array([45, 31, 29]), array([67, 57, 50]), array([152,  88,  85]), array([179, 157, 138]))"
spring_bright,"(array([64, 39, 30]), array([120, 100,  88]), array([185,  95, 105]), array([219, 179, 156]))"
winter_bright,"(array([54, 34, 34]), array([134, 106, 105]), array([162, 120, 120]), array([223, 184, 173]))"
winter_bright,"(array([44, 25, 23]), array([148, 119, 116]), array([220, 139, 149]), array([239, 202, 198]))"
winter_bright,"(array([12, 15, 42]), array([183, 153, 139]), array([137,  79,  82]), array([208, 179, 165]))"
winter_bright,"(array([44, 35, 36]), array([72, 53, 48]), array([157, 104, 103]), array([182, 152, 138]))"
winter_bright,"(array([34, 19, 12]), array([102,  84,  68]), array([251, 157, 131]), array([252, 209, 157]))"
winter_bright,"(array([91, 64, 45]), array([142, 113,  99]), array([192, 109, 113]), array([214, 197, 191]))"
winter_bright,"(array([35, 26, 26]), array([41, 31, 28]), array([177, 119, 134]), array([220, 208, 213]))"
winter_bright,"(array([32, 21, 29]), array([48, 32, 36]), array([207, 117, 137]), array([216, 200, 196]))"
winter_bright,"(array([18, 15, 10]), array([121,  99,  89]), array([144,  89,  82]), array([186, 161, 142]))"
winter_bright,"(array([29, 18, 16]), array([100,  78,  72]), array([130,  56,  65]), array([207, 165, 154]))"
winter_bright,"(array([73, 49, 51]), array([46, 39, 38]), array([202, 121, 131]), array([212, 176, 164]))"
winter_bright,"(array([31, 18, 16]), array([127, 105,  90]), array([188,  95,  99]), array([215, 211, 192]))"
winter_bright,"(array([43, 32, 31]), array([108,  88,  86]), array([128,  62,  75]), array([180, 148, 145]))"
winter_bright,"(array([27, 14, 15]), array([13,  9, 13]), array([176,  75,  95]), array([192, 158, 160]))"
winter_bright,"(array([37, 46, 42]), array([74, 85, 77]), array([153,  79,  76]), array([187, 211, 190]))"
winter_bright,"(array([195, 165, 121]), array([110,  86,  67]), array([193, 126, 117]), array([234, 220, 175]))"
winter_bright,"(array([26, 13, 11]), array([10, 11, 13]), array([182, 111, 107]), array([215, 188, 169]))"
winter_bright,"(array([37, 32, 29]), array([29, 26, 23]), array([161, 125, 129]), array([150, 159, 148]))"
winter_bright,"(array([38, 53, 52]), array([ 79, 138, 138]), array([120, 122, 129]), array([145, 254, 254]))"
