Folder,Eye RGB,Eyebrow RGB,Lip RGB,Skin RGB
spring_bright,"23, 15, 14","108,  96,  93","157,  94, 102","189, 175, 167"
spring_bright,"14,  4,  3","29, 22, 27","150,  77,  78","192, 170, 170"
spring_bright,"29, 24, 18","137, 142,  98","187, 122, 107","232, 246, 169"
spring_bright,"30, 31, 46","140, 109,  99","195,  48,  70","226, 204, 189"
spring_bright,"42, 19, 32","100,  90, 115","156, 126, 189","183, 210, 254"
spring_bright,"41, 18, 15","71, 38, 27","173, 105, 101","228, 180, 153"
spring_bright,"254, 204, 210","207, 151, 158","254, 200, 207","252, 200, 207"
spring_bright,"31, 21, 12","32, 28, 18","209, 127,  88","254, 254, 180"
spring_bright,"52, 42, 44","56, 38, 32","187,  31,  68","231, 248, 197"
spring_bright,"45, 36, 40","37, 33, 38","157, 114, 120","149, 111,  96"
spring_bright,"27, 17, 12","41, 30, 19","236, 116, 139","245, 193, 221"
spring_bright,"38, 22, 20","121,  91,  82","203, 122, 117","234, 207, 182"
spring_bright,"30, 21, 20","58, 59, 67","204, 203, 215","176, 151, 147"
spring_bright,"47, 17, 16","115,  85,  74","139,  78,  76","192, 148, 128"
spring_bright,"31, 23, 23","69, 54, 54","197, 107, 110","248, 220, 201"
spring_bright,"30,  3,  4","112,  95,  95","151,  67,  98","193, 168, 174"
spring_bright,"23, 30, 28","25, 22, 14","143,  96, 105","164, 228, 191"
spring_bright,"48, 16, 23","104,  65,  61","226, 103, 120","221, 141, 125"
spring_bright,"51, 46, 51","85, 62, 51","159,  75,  82","208, 184, 182"
spring_bright,"26, 22, 26","66, 57, 67","112,  59,  85","139, 127, 159"
spring_bright,"61, 18,  9","85, 47, 39","191, 107, 128","191, 145, 152"
spring_bright,"37, 17, 16","57, 36, 28","175, 104, 131","196, 180, 193"
spring_bright,"47, 28, 29","126,  97,  92","186,  66,  80","213, 182, 183"
spring_bright,"27, 18, 14","157, 148, 152","143,  85,  91","185, 172, 174"
spring_bright,"40, 30, 26","80,  94, 108","90, 71, 91","163, 222, 254"
spring_bright,"53, 36, 32","119, 100,  93","127,  62,  63","228, 205, 189"
spring_bright,"10,  1,  1","2, 1, 2","157, 111, 125","201, 196, 211"
spring_bright,"46, 23, 19","91, 65, 61","214, 114, 117","253, 203, 182"
spring_bright,"29, 18, 20","65, 53, 49","138,  86,  81","177, 149, 131"
spring_bright,"21,  2,  6","178, 135, 120","254, 248, 205","254, 207, 161"
spring_bright,"16,  2,  1","8, 0, 0","208, 242, 236","192, 197, 181"
spring_bright,"43, 26, 26","38, 20, 14","183,  76, 118","180, 126, 162"
spring_bright,"78, 63, 63","147, 115, 111","222, 117, 122","238, 190, 173"
spring_bright,"54, 26, 24","118,  95,  87","200, 120, 117","211, 169, 145"
spring_bright,"31, 14, 10","80, 74, 77","151,  87, 101","200, 195, 187"
spring_bright,"33, 13, 18","83, 53, 50","165,  72,  88","199, 170, 165"
spring_bright,"57, 39, 28","34, 29, 23","177,  98,  76","225, 179, 135"
spring_bright,"45, 31, 29","67, 57, 50","152,  88,  85","179, 157, 138"
spring_bright,"64, 39, 30","120, 100,  88","185,  95, 105","219, 179, 156"
winter_bright,"54, 34, 34","134, 106, 105","162, 120, 120","223, 184, 173"
winter_bright,"44, 25, 23","148, 119, 116","220, 139, 149","239, 202, 198"
winter_bright,"12, 15, 42","183, 153, 139","137,  79,  82","208, 179, 165"
winter_bright,"44, 35, 36","72, 53, 48","157, 104, 103","182, 152, 138"
